isrc,song_title,artist,spirit_songwriters,lum_us_streams_12mo,lum_us_ondemand_12mo,lum_radio_spins_12mo,lum_radio_audience_12mo,source_ok
USA2P2528291,Safe With Me,Rachel Grae,Joe Janiak,150370,147215,0,0,yes
USA2P2537414,Need Your Love,Rachel Grae,Joe Janiak,109162,107454,0,0,yes
USA2P2554911,Run With The River,Rachel Grae,Joe Janiak,114479,112986,2,1400,yes
USA2P2544749,Come A Day,Rachel Grae,Joe Janiak,484091,482460,0,0,yes
QZZEB2550577,Like My Own,Kylie Morgan,Kasey Tyndall,711853,594654,122,123300,yes
USA2P2556929,Into Me,Tolou,Liz Lokre,12176,11897,0,0,yes
USUM72511256,Cool Down,Ari Lennox,Liz Lokre,1833708,1732901,1,0,yes
QZZEB2553121,BUTTERF-LIES,Mira Housey,Mira Housey,156053,155458,1,0,yes
USWB12504170,Exclusive,Hudson Westbrook,Ryan Beaver,12898595,7559581,1,100,yes
US6R22526325,Burn To Black,Brooke Lee,Brooke Lee,394151,389708,0,0,yes
QMRSZ2500467,Ruin Me,Corbyn Besson,Peter Lee Johnson,833309,735097,0,0,yes
USAT22600020,Yo Yan,Skrillex,Peter Lee Johnson,977079,968608,5,14800,yes
USC4R2559998,Buzz,Vienna Vienna,Joe Janiak,300735,283312,21,0,yes
QMFMG2578094,Bloody Nails,Joe Bryson,Joe Bryson,1013219,1012319,0,0,yes
USUM72511641,100,Ella Mai,Peter Lee Johnson,46527076,34711261,63417,122493900,yes
QZQAY2604464,All My Love,Johnny Valentine,Patrick Ridgen,54383,54045,0,0,yes
QZNMZ2537486,The One That Got Away,AJ McClean,Ben Samama,223443,219604,0,0,yes
QZNN22571271,Relapse,AJ McClean,Ben Samama,100273,95316,0,0,yes
QZNN22571268,Body Butter,AJ McClean,Ben Samama,130192,124219,0,0,yes
QZNN22571266,Flowers,AJ McClean,Ben Samama,408579,397593,0,0,yes
QZNN22571267,Why You Love Me Wrong,AJ McClean,Ben Samama,106300,99694,0,0,yes
QZNN22571269,Lovin' On Me,AJ McClean,Ben Samama,98966,93497,0,0,yes
USME32600003,Pharmacy Chronicles,The Black Crowes,"Chris Robinson,Rich Robinson",2125863,1117534,9658,8770300,yes
USME32600001,Profane Prophecy,The Black Crowes,"Chris Robinson,Rich Robinson",1439381,1269554,22257,23874300,yes
QT6HK2511836,Sounds Of A Small Town,Timothy Wayne,Cale Dodds,39279,31260,0,0,yes
QZVMS2500029,Warning You Whiskey,Brit Taylor,Adam Chaffins,299689,244461,4074,1455100,yes
QZFZ22682418,Give Up On Us,Lonnie,"Chizzy,blckatom",53673,53655,0,0,yes
QT6EU2523564,Chasing After You,Kelsey Parks,Jessica Cayne,1223357,1223194,0,0,yes
QZZEB2505657,Sleeping In My Makeup,Mira Housey,Mira Housey,39119,37349,0,0,yes
US5ED2507576,Is It Alright?,Jaz Karis,Chizzy,447168,446784,6,2400,yes
QMFMG2516822,It Ain't Mine,Connor McCutcheon,Connor McCutcheon,40227,38008,0,0,yes
CA5KR2602902,Southern Belle,Zach Hood,Sawyer Utah,938678,931082,0,0,yes
QM24S2506993,One More Christmas,Trace Adkins,"Derek George,Monty Criswell",2012270,1071856,0,0,yes
QT3FF2544602,Anything Anymore,Stella Hennen,"Adam Wood,Brock Westover",236326,215307,1,0,yes
ES75E2512321,Si Se Va La Luz,Marc Tinez,Marc Tinez,31,31,0,0,yes
QT6EE2586396,Let's Get Married (This Christmas),Joseph of Mercury,Joseph of Mercury,6121,6121,0,0,yes
QT6EE2530851,Breaking In The Bible,Colleen McKenna,Joe Bryson,14779,13845,0,0,yes
QZZ8B2553212,Yours,Mira Housey,Mira Housey,17519,17519,0,0,yes
GBCFB2500541,Otherside,Poolside,Nick Gale,1003177,916871,0,0,yes
QM24S2506582,Watterson Hall (Me & You),William Clark Green,Ryan Beaver,334190,324515,0,0,yes
US23A8583303,Holly Jolly Good Time,Tyler James Bellinger,Cale Dodds,1919292,1918390,0,0,yes
US23A8583302,Small Town Santa,Sammy Arriaga,Cale Dodds,34486,33878,0,0,yes
GBUM72502295,Happening Again,Celeste,Ely Rise,188587,186286,0,0,yes
QMFME2576762,Lonely Does,Connor McCutcheon,Connor McCutcheon,26042,25970,0,0,yes
USWB12504169,If He Wanted To,Hudson Westbrook,Ryan Beaver,46467782,34821762,36,2900,yes
QZTPX2595163,Oxygen,SUMMY,Brock Westover,1742,1742,0,0,yes
QMFME2583373,Come Home,Brooke Lee,"Brooke Lee,Justin Richards,Jessica Cayne",31169,31117,0,0,yes
QZRD92508038,Good Omen,Caroline Jones,Joy Williams,129045,82485,77,134200,yes
USLS52581901,The Gift,Tamar Braxton,Liz Lokre,120131,112200,0,0,yes
NLF712506801,The City,Alex Wann,Melodie Wagner,1225096,1221815,529,8800,yes
QZTGW2407482,I Want You,NURKO,Remy Gautreau,869095,867373,0,0,yes
QZZ8A2520130,This Side Of The Mississippi,Cale Dodds,"Cale Dodds,Justin Halpin",9522,9337,0,0,yes
QZZ8A2520122,Knowing When To Quit,Cale Dodds,Cale Dodds,13997,12127,0,0,yes
QZZ8A2520137,Other Side Of You,Cale Dodds,"Cale Dodds,Justin Halpin",34603,32674,0,0,yes
QZZVQ2500308,Buckshot,Graham Barham,Brent Anderson,5294191,4379008,2,100,yes
USUYG1756740,To Hear Him Tell It,Matt Koziol,Jeremy Bussey,6878,6569,0,0,yes
USUYG1756743,Losing You,Matt Koziol,Jeremy Bussey,3668,3618,0,0,yes
QT6E92571379,It Feels Like Christmas,Matt Bloyd,Shane Stevens,2448,2448,0,0,yes
QMEU32514888,What If I Don't,Shoshana Bean,David Ryan Harris,46765,45713,0,0,yes
QMEU32514893,Strangers Again,Shoshana Bean,David Ryan Harris,38481,38265,0,0,yes
QMEU32514887,Quite Like Me,Shoshana Bean,David Ryan Harris,42042,41656,0,0,yes
QMEU32514896,Only Thing Left,Shoshana Bean,David Ryan Harris,23195,23115,0,0,yes
QMEU32514898,Montana,Shoshana Bean,David Ryan Harris,24532,24382,0,0,yes
QMEU32514889,Man Of His Word,Shoshana Bean,David Ryan Harris,37857,37743,0,0,yes
QMEU32514897,Make Me A Mistake,Shoshana Bean,David Ryan Harris,25653,25380,0,0,yes
QMEU32514895,Lone Soldier,Shoshana Bean,David Ryan Harris,25257,24998,0,0,yes
QMEU32514890,Let Me Believe,Shoshana Bean,David Ryan Harris,380323,378552,0,0,yes
QMEU32514886,Left Over Love,Shoshana Bean,David Ryan Harris,53875,53520,0,0,yes
QMEU32514891,Hard Woman To Love,Shoshana Bean,David Ryan Harris,40810,40689,0,0,yes
QMEU32514894,Forward,Shoshana Bean,David Ryan Harris,27729,27628,0,0,yes
KRA382506367,Everything Is Love,AHOF,Ben Samama,160244,160114,0,0,yes
QT6EB2521767,BAG!,Drelli,Remy Gautreau,1571,1557,0,0,yes
QMEU32514892,Twilight Moon,Shoshana Bean,"Jessica Cayne,Justin Richards,David Ryan Harris",36429,35897,0,0,yes
USRC12501996,Falsetto,Eli,Jason Vance Harris,296143,295951,0,0,yes
USRC12501997,I Wish I Was A Girl,Eli,Jason Vance Harris,286343,286082,0,0,yes
USRC12500828,Marianne,Eli,Jason Vance Harris,876255,873827,0,0,yes
SE6I32577633,Last First Dance,Tommy Lyon,Jordan Cosmo,94276,93974,0,0,yes
QT3FA2534773,Jack Of All Trades,Stella Hennen,Sawyer Utah,60349,59935,0,0,yes
QT6EB2525058,Used To Love You,Brandon Ratcliff,Jessica Cayne,9062,9060,0,0,yes
QZZ8B2504305,Where We Are Right Now,O.A.R.,Remy Gautreau,732401,677023,0,0,yes
USA2P2545307,Mismatch,&TEAM,Ben Samama,2517324,2502325,0,0,yes
QM6MZ2533029,Halo,monte booker,Hamish,95776,95741,0,0,yes
QM6MZ2533037,Awake,monte booker,Hamish,182562,179985,0,0,yes
QT2JK2500077,Three More Glasses,Izzy Escobar,Mira Housey,229816,216719,0,0,yes
USUM72510354,My Muse,Leon Thomas,Peter Lee Johnson,20423989,19733046,2286,3606200,yes
QT65Z2521159,Catching Fire,Alli Leighann,"Chizzy,Connor McCutcheon",83830,83298,0,0,yes
QZWH32500662,Same Place Twice,Randy Rogers Band,Ryan Beaver,322591,212944,0,0,yes
USUM72508780,Little Miss,Vincent Mason,Ryan Beaver,5421258,4806620,16,2800,yes
USUM72510908,My Muse,Leon Thomas,Peter Lee Johnson,1965245,1822807,2286,3606200,yes
DEUM72507322,Everywhere,Max Allais,Jordan Cosmo,206405,205633,59,6600,yes
QMDA62568904,Lady In Red,Pedro Santos,Jordan Cosmo,741482,739583,0,0,yes
US5ED2507152,Alright,Jaz Karis,Chizzy,236012,229661,11,3500,yes
QZRD92507923,Sober,Avery Roberson,LECADE,90988,77175,0,0,yes
CAN112501229,Only Want You,BEL,Jason Vance Harris,64307,64184,0,0,yes
CAN112501224,Break A Leg (intro),BEL,Jason Vance Harris,20647,20582,0,0,yes
USUG12507656,Gone,Flatland Calvalry,Ryan Beaver,3793919,3486840,440,708800,yes
QMBZ92517617,Tin Roof,Chris Young,Adam Wood,530328,383417,0,0,yes
QM24S2505215,The Wheel,Reaper,JJ Scheff,16500,16497,0,0,yes
QM24S2505216,Phantoms,Reaper,JJ Scheff,15039,15026,0,0,yes
QM24S2505217,Angels Cry,Reaper,JJ Scheff,28335,28321,0,0,yes
QM24S2504750,You Break It You Buy It,Faith Hopkins,Connor McCutcheon,10653,10645,0,0,yes
USUM72410681,Bring Me Downtown,Priscilla Block,David Garcia,730967,622663,34,4100,yes
USUM72410678,Try,Priscilla Block,David Garcia,832911,718081,63,0,yes
USUM72410669,Stranger Things,Priscilla Block,David Garcia,1999178,1812224,0,0,yes
AUIYA2500004,Born To Be Country,Amy Sheppard,Brock Westover,26263,26238,0,0,yes
QMFME2597230,Defense,monte booker,Hamish,416622,409523,0,0,yes
GBUM72501397,Starry Eyed,Good Neighbours,Joe Janiak,5841624,5386839,1,4600,yes
QM4TX2581753,Every Road,Peacemode,Joe Janiak,6342,6325,0,0,yes
QMFME2547066,Money Train,Peacemode,Joe Janiak,191214,190350,0,0,yes
QM4TX2581687,Nothing Else,Peacemode,Joe Janiak,11657,11594,0,0,yes
QM7282560692,One More Drink Before I Go,Peacemode,Joe Janiak,3270,3253,0,0,yes
QMFME2547069,Shine A Little Love,Peacemode,Joe Janiak,2566,2545,0,0,yes
QMDA72590087,In The Valley,Peacemode,Joe Janiak,3440,3412,0,0,yes
QM4TX2581742,The Heart & The Hope,Peacemode,Joe Janiak,50221,50193,0,0,yes
QMBZ92536172,Come Back Baby,Peacemode,Joe Janiak,75669,75561,0,0,yes
QZS7J2530238,Make It With You,Grace Asbury,"Jessica Cayne,Matthew Morrisey",47501,47459,0,0,yes
QZZ8A2547075,When I'm In The 70s,Mira Housey,Mira Housey,9446,9446,0,0,yes
USUG12508045,Take the Country and Run,HARDY,"Michael Hardy,David Garcia",1056934,1022203,20,47100,yes
USUG12505243,Everybody Does,HARDY,Michael Hardy,203577,193456,18,43700,yes
USUG12505235,Everybody Does,HARDY,Michael Hardy,3777540,2828506,18,43700,yes
USUG12505242,Y’all Need Jesus,HARDY,Michael Hardy,238461,220872,18,43700,yes
USUG12505232,Y’all Need Jesus,HARDY,Michael Hardy,4512820,3571726,18,43700,yes
USUG12505241,Keep It Country,HARDY,"David Garcia,Michael Hardy",157213,146458,1,1700,yes
USUG12505231,Keep It Country,HARDY,"David Garcia,Michael Hardy",4118597,3066283,1,1700,yes
USUG12505230,Gun To My Head,HARDY,Michael Hardy,5786475,4512513,21,48800,yes
USUG12505239,Who Don't,HARDY,Michael Hardy,129112,125200,303,64800,yes
USUG12505228,Who Don't,HARDY,Michael Hardy,4031774,3331055,303,64800,yes
USUG12505240,Country In Me,HARDY,Michael Hardy,350298,319776,12,24500,yes
USUG12505229,Country In Me,HARDY,Michael Hardy,10622836,6915204,12,24500,yes
USUG12505227,Bottomland,HARDY,Michael Hardy,75602806,68952410,102,171900,yes
USUG12505238,Bedrooms In The Sky,HARDY,Michael Hardy,204618,197364,0,0,yes
USUG12505226,Bedrooms In The Sky,HARDY,Michael Hardy,6654957,5864870,0,0,yes
USUG12505225,Goodbye,HARDY,Michael Hardy,3157276,2847847,0,0,yes
USUG12505224,Take the Country and Run,HARDY,"Michael Hardy,David Garcia",6972791,6046082,20,47100,yes
USUG12508048,Country In Me,HARDY,Michael Hardy,36183,36079,12,24500,yes
USUG12505236,Country Country,HARDY,"David Garcia,Michael Hardy",979245,733146,63,160000,yes
USUG12505221,Country Country,HARDY,"David Garcia,Michael Hardy",20106581,10868457,63,160000,yes
USUG12502833,Favorite Country Song,HARDY,Michael Hardy,75753343,57532978,416606,1031388900,yes
USUG12502832,Luckiest Man Alive,HARDY,Michael Hardy,9365460,8154200,497,1073300,yes
USUG12502835,Girl With A Gun,HARDY,Michael Hardy,459250,451265,80,163900,yes
USUG12502831,Girl With A Gun,HARDY,Michael Hardy,7846836,6973455,80,163900,yes
USUG12502834,Buck On The Wall,HARDY,Michael Hardy,334392,323213,1,3300,yes
USUG12502829,Buck On The Wall,HARDY,Michael Hardy,8780166,7555564,1,3300,yes
USUG12508044,Country In Me,HARDY,Michael Hardy,981927,975834,12,24500,yes
USUG12508047,Good Ole Boy,HARDY,"David Garcia,Michael Hardy",324291,316267,1,100,yes
USUG12508043,Good Ole Boy,HARDY,"David Garcia,Michael Hardy",17305393,16407187,1,100,yes
QZTL92556787,Smooth,Black Caviar,Remy Gautreau,1266,1256,0,0,yes
USC4R2449413,Livin' It Up Down In Texas,Billy F Gibbons,Billy F. Gibbons,630285,332600,28,12000,yes
UKRPL1900934,Silver Lining,KC Lights,Melodie Wagner,134301,131319,0,0,yes
QM24S2504568,Figure 8,Lily Rose,Matthew Morrisey,654170,595104,0,0,yes
DE1QW2504980,Bury Me Alive,CH4YN,Ben Samama,21812,21192,0,0,yes
QZTGW2404816,Give Up The Ghost,Modestep,Nick Gale,85494,82989,0,0,yes
QZTGW2404809,Different,Modestep,Nick Gale,60216,55545,0,0,yes
QZTL92553953,Miss This,Black Caviar,Remy Gautreau,9143,9138,0,0,yes
QZTL92540249,Pop Off,Black Caviar,Remy Gautreau,3761,3745,0,0,yes
QZTL92512676,Summa That,Black Caviar,Remy Gautreau,2096,2085,0,0,yes
USLD91783509,Unreasonable,Paperwater,Liz Lokre,13946,12092,0,0,yes
QMDA72591091,Highway Lovers,Brooke Lee,Brooke Lee,90549,90541,0,0,yes
QMFME2511379,Mississippi Mia,Joe Bryson,Joe Bryson,239271,239180,0,0,yes
USLD91783525,Unreasonable (Afrowater Remix),Paperwater,Liz Lokre,485,485,0,0,yes
QMFME2516776,KMF,JUILS,Sawyer Utah,3374,3374,0,0,yes
QZZ8A2520078,Still Single,Cale Dodds,"Cale Dodds,Justin Halpin",32679,32043,0,0,yes
QZWUY2400028,Wild And Free,Brooke Lee,"Brooke Lee,Mike Fiorentino,Patrick Ridgen",81780,79719,0,0,yes
QZZ7M2597715,It's You,Kelsey Parks,Jessica Cayne,300870,300859,0,0,yes
QZZ8A2517069,I Feel Good About It,First Time Thieves,"Cale Dodds,Justin Halpin",592,515,0,0,yes
QM5QG2553010,Laced,Morgan Myles,Matthew Morrisey,10619,10505,0,0,yes
ES75E2510564,Call Me Up,Marc Tinez,"Chizzy,Marc Tinez",16,16,0,0,yes
QT3EX2500355,Good Man Going Home,Jeff Bates,Nick Autry,13367,13288,0,0,yes
QMDA72587233,Holy Sugar,The Wombats,Joe Janiak,930257,369964,1560,91900,yes
USRC12501645,El Pleito,Miguel,Ely Rise,2108865,2086305,1,4000,yes
QZS7J2525269,I Ruin Everything I Love,Ali Wolv,Sara Boe,79558,79528,0,0,yes
USQX92503769,Cannibalism,Slayyyter,Hamish,13714087,13645819,16,5200,yes
QM24S2505346,Forever Again,Matt Hansen,Sara Boe,4221405,4049744,0,0,yes
QM24S2504898,Shark,Reaper,JJ Scheff,173592,172492,0,0,yes
QMDA72587731,Ain't Nobody,Connor McCutcheon,Connor McCutcheon,27199,26693,0,0,yes
GBUM72503679,Falling In Love,Matteo Bocelli,Camylio,232786,201901,0,0,yes
USUM72412200,Phones And Radios,Priscilla Block,David Garcia,1544334,1308247,418,489200,yes
QZTLA2545217,Million Bucks,Black Caviar,Remy Gautreau,12263,12252,0,0,yes
US38Y2539268,Indigo,Venna,Hamish,300955,274722,6,8100,yes
US38Y2539269,Eternal Reflections,Venna,Hamish,430714,401848,33,32700,yes
USUG12505379,All Night Days,Rob Thomas,Remy Gautreau,663015,488132,0,0,yes
CA5KR2588479,Middle Of Nowhere,Zach Hood,Sawyer Utah,1350154,1315837,0,0,yes
TCAJY2569864,If This Town Could Talk,Daniel Jeffers,"Bobby Hamrick,Justin Halpin",18296,18289,0,0,yes
TCAJY2569808,Do Me A Favor,Daniel Jeffers,"Bobby Hamrick,Justin Halpin",110892,110622,0,0,yes
QZVMS2500028,It's All For Sale,Brit Taylor,Adam Chaffins,35351,17666,14,39700,yes
US6XF2500255,Jack & Jill Daniel's,Emily Ann Roberts,Ryan Beaver,11614197,10759265,228,275500,yes
UKW3Z2501477,My Greatest Joy,RuthAnne,Autumn Rowe,7563,7523,0,0,yes
TCAJZ2564914,Afterglow,Grace Bridie,Grace Bridie,6803,6783,0,0,yes
QM24S2504757,Hydra,Reaper,JJ Scheff,76976,76972,0,0,yes
QZRD92507715,One to Willie,Riley Green,"Monty Criswell,Derek George",2815145,2193772,0,0,yes
USUG12501956,Nonchalant,Sikarus,Michael Hardy,33545,33450,0,0,yes
QZNMV2534156,24/7,BigXThaPlug,Nick Gale,8303976,7505286,0,0,yes
QZEQU2501553,All Dollars No Sense,Adam Mac,Jessica Cayne,304954,292041,0,0,yes
USWB12502899,Like It Like That,Dasha,David Garcia,29363726,23568138,160,1000,yes
USUG12504613,Do It All Again,Jon Batiste,Autumn Rowe,366135,352910,21,23600,yes
QMRSZ2202691,Storm's Coming,Kolby Cooper,Michael Hardy,5,5,0,0,yes
GXBAV2077568,Bami Soro,ERIICE,Melodie Wagner,44469,44384,0,0,yes
QZNJY2563904,Insane,Liam Coleman,Joe Bryson,9976,9968,0,0,yes
GBAHS2500696,Afters,BL3SS,Melodie Wagner,3632540,3613939,0,0,yes
QZWFP2529272,Afterglow,Kelsey Parks,Jessica Cayne,507778,507756,0,0,yes
QZRD92507695,Blind,LECADE,LECADE,254210,233989,0,0,yes
QZWUY2500060,Thinkin' Straight,Connor McCutcheon,Connor McCutcheon,91917,91226,0,0,yes
QMRSZ2501269,Devil Ain't Done,ATLUS,David Garcia,1589316,1484901,30136,37951500,yes
QZ5FA2550089,Still,Clever,LECADE,381800,375149,0,0,yes
US38Y2552592,Praise Dance,Big Freedia,Autumn Rowe,9417,8977,0,0,yes
USA2P2535586,Got Away,Ripley Alexander,Connor McCutcheon,12542,12470,0,0,yes
QZWV32560492,Money Talks,First Time Thieves,"Brock Westover,Cale Dodds,Justin Halpin",316,307,0,0,yes
QM24S2504212,Liberation,Reaper,JJ Scheff,44766,44765,0,0,yes
QZEQU2501561,Office With A View,Schmitty,"Derek George,Monty Criswell",20670,20495,0,0,yes
CA5KR2541462,Another Summer Night,Zach Hood,Sawyer Utah,507726,499149,0,0,yes
QZEQU2501446,Worth The Wait,Brinley Addington,Brinley Addington,28258,10568,0,0,yes
TCAJT2578489,Choke,Kalie Shorr,Jessica Cayne,2617,2603,0,0,yes
QZWFE2597249,Making Moves,Be.zerk,"Bobby Hamrick,Brock Westover",3,3,0,0,yes
ES75E2509268,Encima De Mi,Marc Tinez,Marc Tinez,181,181,0,0,yes
QZAKB2513611,Wish I Could Tell You,Remy,Remy Gautreau,1699,1699,0,0,yes
USUG12506452,Miami (Feat. Lil Wayne & Rick Ross),Morgan Wallen,Michael Hardy,1561,1561,4142,3479200,yes
USUG12506451,Miami (Feat. Lil Wayne & Rick Ross),Morgan Wallen,Michael Hardy,6090105,5818434,4142,3479200,yes
USUG12506450,Miami (Feat. Lil Wayne & Rick Ross),Morgan Wallen,Michael Hardy,300,300,4142,3479200,yes
USUG12506449,Miami (Feat. Lil Wayne & Rick Ross),Morgan Wallen,Michael Hardy,48519272,36826334,4142,3479200,yes
TCAJT2559631,Not Yet,Daniel Jeffers,"Justin Halpin,Bobby Hamrick",34521,34321,0,0,yes
CA74P2500010,Oops (I Think I Love You),Savannah Jade,"Jessica Cayne,Matthew Morrisey",85346,85331,0,0,yes
QZWFG2575512,Hey Y'all,Shane Stevens,Shane Stevens,1271,1269,0,0,yes
USWB12501546,Fool,Hudson Westbrook,Ryan Beaver,3053264,2901857,0,0,yes
USUMV2502659,Miami (Feat. Lil Wayne & Rick Ross),Morgan Wallen,Michael Hardy,,,,,yes
USUMV2502658,Miami (Feat. Lil Wayne & Rick Ross),Morgan Wallen,Michael Hardy,,,,,yes
QZNJX2533967,All That I've Known,Tommy Lyon,Jordan Cosmo,767858,767116,0,0,yes
QZTBC2555244,Either Way,Jasper Charles,Joe Bryson,60626,60584,0,0,yes
USQX92502111,Holding Down The Honky Tonk,Scotty McCreery,"Brent Anderson,Derek George,Frank Rogers,Jeremy Bussey",430284,393392,1,600,yes
USQX92503135,Whiskey Said,Scotty McCreery,"Brent Anderson,Derek George,Frank Rogers,Jeremy Bussey",416497,358021,0,0,yes
USQX92502112,Swim Up Bar,Scotty McCreery,"Brent Anderson,Derek George,Monty Criswell,Bobby Hamrick,Frank Rogers",1437471,949035,1,2600,yes
QZ9H32500041,High Roller,Mustard Service,"Marco Ochoa,Adam Perez,Leonardo Cattani",163370,163158,0,0,yes
QZ9H32500045,There You Go Again,Mustard Service,"Marco Ochoa,Leonardo Cattani,Adam Perez",112711,112528,0,0,yes
QZ9H32500043,Billy Bob,Mustard Service,"Marco Ochoa,Leonardo Cattani",106966,106892,0,0,yes
QZ9H32500042,Telephone,Mustard Service,"Marco Ochoa,Leonardo Cattani,Adam Perez",109068,108998,0,0,yes
QZ9H32500044,Let Me Call You Baby,Mustard Service,"Leonardo Cattani,Marco Ochoa,Adam Perez",278783,278502,0,0,yes
QZ9H32500039,I'm An Idiot,Mustard Service,"Marco Ochoa,Leonardo Cattani,Adam Perez",330030,329521,0,0,yes
USUG12402787,Jim Bob,HARDY,"David Garcia,Michael Hardy",149,149,4335,2317400,yes
USUG12402773,Jim Bob,HARDY,"David Garcia,Michael Hardy",465401,454259,4335,2317400,yes
USUG12501957,Nonchalant,Sikarus,Michael Hardy,5,5,0,0,yes
QZMEN2562033,Talking Bout Tonight,The Kruse Brothers,"Jessica Cayne,Matthew Morrisey",902423,898910,0,0,yes
CAV392500032,Shooting Star,Sacha,Zach Beeken,122214,121311,0,0,yes
USUM72501693,Hero In The Room,Jeremy Rosado,Justin Richards,3097255,2675955,22,149000,yes
QZXF32500008,Might Just Love You,Dalton Dover,Brent Anderson,466447,445840,0,0,yes
USUYG1737937,Take It As A Blessing,Jordana Bryant,"Jessica Cayne,Matthew Morrisey",149228,138714,0,0,yes
USUM72505496,When I Meet Jesus,Jeremy Rosado,Justin Richards,3647272,3245240,16,111600,yes
QZWUY2500059,Dandelion,Brooke Lee,"Bobby Hamrick,Brinley Addington,Brooke Lee",36021,35997,0,0,yes
USQX92503185,Superstar,"Xandra,Bryce Vine",Erik Belz,293030,290886,0,0,yes
QZ9H32500038,Yucky's Song,Mustard Service,"Marco Ochoa,Leonardo Cattani",254285,244877,0,0,yes
FRX452529406,Elevator Song,MiiRACLES,Nick Gale,33,33,0,0,yes
QZAKB2505349,Rumors,"Imanbek,BIA",Melodie Wagner,26102,26040,0,0,yes
QZWDE2590818,Version Of Me,First Time Thieves,"Cale Dodds,Justin Halpin",1152,1152,0,0,yes
USSM12502547,Never Met Anyone Like You,Ella Langley,Michael Hardy,64250130,51555138,1119,320500,yes
USSM12502698,Never Met Anyone Like You,Ella Langley,Michael Hardy,103589,103589,1119,320500,yes
USUM72506239,In The End,Leven Kali,JJ Scheff,339669,321552,0,0,yes
USUM72506238,Blackrock,Leven Kali,JJ Scheff,102867,99986,0,0,yes
USQX92503056,June,24KGoldn,Nick Gale,348491,345434,0,0,yes
CA5KR2536151,Beautiful As You,Zach Hood,Sawyer Utah,1911145,1879838,0,0,yes
QZEQU2501027,Staycation,Levi Hummon,Cale Dodds,33725,32785,0,0,yes
TCAJS2568865,Wish You Gone,Halle Kearns,Jessica Cayne,10729,10722,0,0,yes
USWB12500918,Take Me Down,Cole Swindell,David Garcia,181576,139180,0,0,yes
USQX92503134,Once Upon A Bottle of Wine,Scotty McCreery,"Brent Anderson,Derek George,Frank Rogers,Jeremy Bussey",549612,471577,0,0,yes
QM24S2503516,Up,Reaper,JJ Scheff,236370,235539,0,0,yes
QZ9H32500034,2am,Mustard Service,"Leonardo Cattani,Adam Perez,Marco Ochoa",685429,685200,0,0,yes
FRX282542679,Cry For Your Supper,MiiRACLES,Nick Gale,7664,7622,0,0,yes
TCAJQ2538986,Ain't About You,Daniel Jeffers,"Justin Halpin,Bobby Hamrick",22970,22928,0,0,yes
USAT22503154,Wipe Your Tears,Sam Austins,JJ Scheff,166427,149718,0,0,yes
QZTLA2519226,I Just Remembered!,Mira Housey,Mira Housey,985,985,0,0,yes
QZWH32500469,Is This Thing Workin',Randy Rogers Band,Monty Criswell,488775,401227,2703,1624100,yes
QZEQU2500976,Take Me To Texas,Smithfield,Adam Wood,39556,39459,0,0,yes
USWB12501545,Funny Seeing You Here,Hudson Westbrook,Ryan Beaver,27232723,19539991,183,347900,yes
USWB12501841,The Bride,Chris Janson,Adam Wood,354323,216149,0,0,yes
USWB12405622,Be Your Man,William Beckmann,Brinley Addington,129847,118145,0,0,yes
USWB12405625,California Quake,William Beckmann,Ryan Beaver,120516,111070,0,0,yes
QZTAT2583369,GRITS,Shane Stevens,Shane Stevens,18839,18795,0,0,yes
USUMV2203509,Tennessee Fan,Morgan Wallen,Michael Hardy,32406,32406,261,505800,yes
USUG12503694,Heaven Sent,Lauren Alaina,Michael Hardy,846147,747154,22,52800,yes
AEA3A2505962,Nothing Is Perfect,Fiaa Hamilton,Jordan Cosmo,1483,1483,0,0,yes
GBK3W2503392,Bad 4 Me,King Isis,Hamish,18909,18874,0,0,yes
QZRP42505820,Changed Me,Zach Loizou,Jordan Cosmo,2765,2765,0,0,yes
QZWDD2599790,Started in a Truck,Joe Bryson,Joe Bryson,14812,14785,0,0,yes
QM6P42574981,You Can Dance With Me,Joshua Ray Walker,Adam Chaffins,12433,12371,0,0,yes
QZPLR2532440,Ghost In My Mind,Oliver Westover,Brock Westover,4192,4186,0,0,yes
AEA3A2146382,In My Head,Mae Muller,Nick Gale,28487,28374,0,0,yes
QZYG82500123,To The Moon,The Kentucky Gentlemen,"Jessica Cayne,Matthew Morrisey",11111,10998,0,0,yes
QZNWW2593897,Ask A Daisy,Gray Robinson,"Jessica Cayne,Matthew Morrisey",92151,91826,0,0,yes
QM6N22580945,Hell Freezes Over,Dillon Carmichael,"Jonathan Singleton,Josh Dunne",31830,27923,0,0,yes
QM6N22580911,Tiny Little Fiddle,Dillon Carmichael,Brent Anderson,50163,36149,0,0,yes
QZRD92507253,Girlfriend's Got A Boyfriend,Cole Goodwin,Connor McCutcheon,887835,872079,0,0,yes
DEWO71700821,Viva La Vegas,Pretty Sister,Brock Westover,14933,14930,0,0,yes
USUG12502287,Off The Map,Dierks Bentley,"Adam Wood,Jeremy Bussey",1120116,1043324,319,591000,yes
USUMV2502100,Favorite Country Song,HARDY,Michael Hardy,0,0,416606,1031388900,yes
USUM72500586,Killin' Me,Parker McCollum,Monty Criswell,50453102,40049766,65230,114792700,yes
GBARL2500676,Somebody Else,e.motion,Nick Gale,44139,44112,0,0,yes
QZTV32594605,All Starts Now,First Time Thieves,"Cale Dodds,Justin Halpin",329,327,0,0,yes
