isrc,song_title,artist,spirit_songwriters,lum_us_streams_12mo,lum_us_ondemand_12mo,lum_radio_spins_12mo,lum_radio_audience_12mo,source_ok
QZRD92609202,I Kinda Want Your Man,Mackenzie Carpenter,Jamie Moore,682829,656107,0,0,yes
QZTRX2646743,Watering the Lawn,Riley Taylor,Jade Eagleson,8201,8144,0,0,yes
QT6FF2690801,Sugar,Connor McCutcheon,Connor McCutcheon,35990,35990,0,0,yes
QMBZ92672936,Thrill,Sawyer Utah,Sawyer Utah,80276,80077,0,0,yes
QMDA62600113,You Only Call When It's Raining,Lucas Ball,Ryan Beaver,419179,413528,0,0,yes
USUG12604883,Sunset Marquis,Miranda Lambert,David Garcia,950131,883208,3,2200,yes
USAT22605028,Whistle,Bri3,Chizzy,250617,231766,0,0,yes
QT3F92692503,Walk To Fame,Chizzy Stephens,Chizzy,375,375,0,0,yes
QT3F92692501,Duffy,Chizzy Stephens,Chizzy,200,200,0,0,yes
QT3F92692500,Top Of The Morning,Chizzy Stephens,Chizzy,344,344,0,0,yes
QZEQU2601206,Drunk Love You,Smithfield,Adam Wood,107528,101602,0,0,yes
QMRSZ2600931,Long Long Year,Tim Montana,Tim Montana,49624,48999,0,0,yes
QMRSZ2600936,Like A Satellite,Tim Montana,"Mike Fiorentino,Nathan Barlowe,Tim Montana",7586,7165,0,0,yes
QMRSZ2600932,Vampires,Tim Montana,Tim Montana,10374,9345,0,0,yes
QMRSZ2600940,Everything I'm Not,Tim Montana,Tim Montana,8808,8425,0,0,yes
QMRSZ2600939,When It's Over,Tim Montana,Tim Montana,7920,7486,0,0,yes
QMRSZ2600938,Like A Kennedy,Tim Montana,Tim Montana,11084,9328,0,0,yes
QMRSZ2600937,Off The Ground,Tim Montana,Tim Montana,7677,7170,0,0,yes
QMRSZ2600934,One Black Thumbnail,Tim Montana,"Mike Fiorentino,Nathan Barlowe,Tim Montana",9912,8658,0,0,yes
QMRSZ2600933,Crown of Ash,Tim Montana,"Nathan Barlowe,Tim Montana",43532,41836,0,0,yes
QMRSZ2600930,Kinda Like It,Tim Montana,Tim Montana,31581,30595,0,0,yes
QMRSZ2600929,Watch Me Drown,Tim Montana,Tim Montana,88207,86426,19,4700,yes
QZ9H32600064,Sharks,Mustard Service,Marco Ochoa,187222,187075,0,0,yes
CA5KR2662169,Focus,Loek,Melodie Wagner,8456,8422,106,0,yes
QMRSZ2600928,Beautiful Hate,Tim Montana,"Nathan Barlowe,Tim Montana",26915,25092,0,0,yes
GBLFP2673099,Territorial,Michael Aldag,Ben Samama,12537,12533,0,0,yes
USUG12606261,Pleaser,VITA,Hamish,63151,58528,0,0,yes
GBGLW2600583,Dog Eat Dog,CHINCHILLA,Sara Boe,264389,249767,0,0,yes
QZTGW2604354,I Want You,NURKO,Remy Gautreau,71706,71697,0,0,yes
CA5KR2661623,Cruel World,Mathias Julin,Jordan Cosmo,127732,127558,0,0,yes
QZEQU2600827,Another Love Song,Chris Housman,Jessica Cayne,48187,47368,0,0,yes
US6XF2600173,Jack & Jill Daniel's,Emily Ann Roberts,Ryan Beaver,1287123,1285534,228,275500,yes
QMBZ92622437,More Life,Peacemode,Joe Janiak,22570,22570,29,44200,yes
QM6P42687629,Driver Drive,Brooke Lee,"Brock Westover,Brooke Lee",240965,238894,0,0,yes
USQX92602821,Been A Good Run,Scotty McCreery,"Derek George,Monty Criswell",1631362,993651,64,111000,yes
QT6EC2671861,HOOCH,Fuller Debes,Joe Bryson,6482,6481,0,0,yes
QZZVQ2600251,Find Me In A Bar,Nate Smith,Zack Hall,5589226,2851492,29,6500,yes
